gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Il6ra	0.536118286214553	0.252622090473126	1	0.384	0.395	0.011
Wdr20	0.536194810436629	-0.676532445400354	1	0.098	0.136	0.038
Acsl4	0.537184353085394	-0.251542405507999	1	0.205	0.235	0.03
Pabpc1	0.537343484307981	0.589277232048517	1	0.134	0.111	0.023
Tent4b	0.537602428105712	0.558141116108983	1	0.134	0.111	0.023
Irak1	0.539282935454974	-0.379631477187493	1	0.08	0.111	0.031
Slc17a5	0.539466083884582	0.694913823267221	1	0.116	0.099	0.017
Rhoa	0.540869353856037	0.316570578652021	1	0.223	0.235	0.012
Swap70	0.540915743405659	-0.728831933710842	1	0.08	0.136	0.056
Pias2	0.541586550306503	-0.245271075071599	1	0.116	0.16	0.044
Sbf2	0.541776715906003	-0.592323668517559	1	0.268	0.346	0.078
Mafb	0.542006755868374	-0.102037225379804	1	0.152	0.185	0.033
Maml3	0.542453609287439	0.259615215115957	1	0.866	0.84	0.026
Rngtt	0.54253573263527	0.389656359311641	1	0.152	0.136	0.016
Sgk3	0.543829130088946	-0.338415977823106	1	0.196	0.259	0.063
Rnf213	0.545160002069129	0.60395068881635	1	0.188	0.123	0.065
Cep350	0.545305388196124	0.126711518523302	1	0.232	0.247	0.015
Nlrc5	0.546635768012626	0.675811564308965	1	0.161	0.086	0.075
Tlr7	0.546828002287017	0.526388658459081	1	0.259	0.198	0.061
Nbeal1	0.548155064250121	-0.414895805119141	1	0.089	0.136	0.047
Cd86	0.55002031884226	0.436164688086941	1	0.438	0.358	0.08
Sec63	0.55013586258339	-0.937687391911971	1	0.08	0.148	0.068
Crk	0.550901491845235	0.287680619254274	1	0.134	0.111	0.023
P2rx7	0.551039129684574	-0.137994670404888	1	0.286	0.37	0.084
Sh3glb1	0.551667664176012	0.317289992665658	1	0.223	0.21	0.013
Rasal3	0.555535517419532	0.168956351878503	1	0.161	0.173	0.012
Arhgef40	0.556684969195113	-0.208682053513353	1	0.107	0.136	0.029
Naa15	0.560513145216915	0.304619974649766	1	0.17	0.16	0.01
Ufsp2	0.561922687094222	-0.105404487222235	1	0.089	0.123	0.034
B4galt6	0.562470397531474	-0.89382275048921	1	0.062	0.111	0.049
Adam17	0.562483855893113	0.116159652151395	1	0.268	0.309	0.041
Gal3st4	0.563390938292019	-0.594326397462629	1	0.107	0.16	0.053
Clasp2	0.563551165990834	-0.213959296819265	1	0.357	0.444	0.087
Dip2b	0.564081069413223	0.426260687030439	1	0.714	0.667	0.0469999999999999
Gmip	0.565642891329265	-0.421635090668186	1	0.214	0.296	0.082
Nr3c1	0.56567875026354	0.225465094837435	1	0.366	0.358	0.00800000000000001
G3bp1	0.566271595570951	1.02086104867593	1	0.143	0.074	0.069
Stim1	0.566353001284507	-0.670991741848297	1	0.116	0.16	0.044
Sec31a	0.567789816398484	0.504859493471835	1	0.125	0.111	0.014
Mbd2	0.570315890972303	-0.351156178248512	1	0.116	0.136	0.02
Cstf3	0.570498742375576	0.219882313978388	1	0.205	0.198	0.00699999999999998
Ube3a	0.570825466365202	0.330505596181885	1	0.134	0.16	0.026
Psen1	0.570929294377761	0.728642546715897	1	0.188	0.111	0.077
Tnpo1	0.571302115282812	-0.349029307608109	1	0.17	0.222	0.052
