gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Ano5	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Chrna7	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Wdr93	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Ankrd42	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Pgm2l1	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
Lmo1	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Pdzd9	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Stx1b	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Tgfb1i1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Plpp4	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Gpr26	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Lrrc27	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Or13a17	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cyp2e1	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Cox8b	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
B4galnt4	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Sigirr	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Kcnq1	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Mrgpre	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Rps23rg1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Camsap3	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cd209b	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
